&b / °,crystal,crytsla cu,cu,null,cu crystal
1,5,1,3,9,10
1.1,5,1,2,5,8
1.2,7,0,2,12,5
1.3,7,3,1,10,5
1.4,4,1,1,5,13
1.5,12,4,1,4,3
1.6,5,4,1,2,6
1.7,14,1,1,3,9
1.8,6,1,1,5,7
1.9,8,1,0,6,3
2,12,1,2,6,6
2.1,9,3,3,7,5
2.2,2,2,2,11,6
2.3,4,0,1,7,7
2.4,16,4,0,4,5
2.5,8,7,3,2,4
2.6,9,0,2,9,7
2.7,7,4,0,5,4
2.8,11,0,0,4,6
2.9,13,2,2,4,0
3,13,2,2,8,5
3.1,12,3,0,4,2
3.2,13,5,0,2,4
3.3,13,1,0,6,4
3.4,17,2,3,6,2
3.5,14,4,0,1,6
3.6,17,1,0,7,2
3.7,14,3,2,9,1
3.8,11,5,1,4,3
3.9,19,2,1,3,4
4,13,3,3,3,2
4.1,12,1,1,2,2
4.2,20,2,1,5,2
4.3,19,4,1,7,5
4.4,22,6,1,3,3
4.5,11,4,0,3,4
4.6,11,0,0,6,3
4.7,18,1,2,1,1
4.8,19,3,2,2,2
4.9,18,2,0,1,2
5,16,5,0,2,4
5.1,35,11,0,1,5
5.2,29,8,0,5,3
5.3,50,14,1,3,4
5.4,33,12,0,2,4
5.5,46,16,1,0,1
5.6,46,12,1,0,2
5.7,57,13,0,1,6
5.8,49,16,1,1,2
5.9,55,14,0,1,4
6,47,12,0,2,3
6.1,68,20,0,3,4
6.2,52,19,0,2,5
6.3,56,16,2,2,2
6.4,55,16,1,3,6
6.5,61,16,0,0,8
6.6,47,14,0,1,7
6.7,49,12,0,1,3
6.8,52,7,0,0,5
6.9,64,7,1,2,12
7,70,17,0,2,9
7.1,48,12,0,1,8
7.2,69,19,1,3,9
7.3,56,14,0,2,22
7.4,61,9,0,4,18
7.5,68,11,0,1,19
7.6,79,9,0,2,18
7.7,76,10,1,4,15
7.8,72,8,0,1,17
7.9,65,9,0,5,10
8,54,13,0,2,20
8.1,68,10,2,0,24
8.2,56,14,3,1,27
8.3,67,5,0,0,25
8.4,80,7,1,0,32
8.5,107,15,0,11,24
8.6,120,7,0,1,32
8.7,120,10,0,2,40
8.8,125,8,0,2,36
8.9,110,8,2,4,23
9,82,5,0,1,36
9.1,54,6,2,3,41
9.2,59,2,1,1,42
9.3,37,2,0,3,38
9.4,41,1,2,2,38
9.5,44,0,0,0,49
9.6,47,7,0,3,44
9.7,40,5,0,1,49
9.8,43,8,1,2,37
9.9,35,4,0,2,49
10,52,5,1,1,45
10.1,44,6,1,3,59
10.2,43,8,2,1,50
10.3,41,5,1,1,56
10.4,41,4,1,2,51
10.5,35,3,0,2,52
10.6,30,3,2,1,42
10.7,26,4,1,3,63
10.8,23,4,0,1,65
10.9,30,2,0,3,66
11,34,2,0,2,71
11.1,22,3,1,4,62
11.2,33,9,1,2,68
11.3,41,8,1,3,57
11.4,22,5,0,2,78
11.5,29,4,0,5,52
11.6,32,2,0,6,69
11.7,25,3,0,9,82
11.8,16,3,0,7,70
11.9,26,4,1,4,65
12,25,3,1,12,74
12.1,29,7,0,8,77
12.2,28,4,1,1,65
12.3,24,3,2,5,78
12.4,26,4,1,4,82
12.5,23,8,0,4,66
12.6,19,3,0,5,80
12.7,21,1,3,5,97
12.8,24,10,3,10,61
12.9,19,5,3,7,85
13,13,2,0,8,79
13.1,16,4,1,10,76
13.2,25,2,1,9,67
13.3,25,5,2,6,75
13.4,19,3,1,8,65
13.5,19,4,1,7,87
13.6,17,3,3,7,74
13.7,18,4,1,14,80
13.8,23,7,3,8,72
13.9,26,6,3,10,67
14,17,5,0,8,74
14.1,24,4,1,6,75
14.2,17,2,4,11,87
14.3,23,4,4,8,72
14.4,8,1,4,11,68
14.5,23,7,2,13,64
14.6,18,2,2,12,73
14.7,22,6,1,19,76
14.8,22,6,3,11,81
14.9,17,4,2,8,70
15,29,1,2,12,81
15.1,12,2,3,17,65
15.2,28,3,2,13,60
15.3,14,1,2,9,61
15.4,24,4,3,14,68
15.5,21,2,0,16,82
15.6,26,1,2,15,50
15.7,19,1,2,14,64
15.8,23,3,3,18,75
15.9,23,2,2,12,64
16,26,2,4,19,71
16.1,24,3,1,11,76
16.2,26,3,3,12,55
16.3,26,3,1,23,57
16.4,17,1,1,16,62
16.5,18,2,2,9,74
16.6,23,3,4,16,56
16.7,10,5,1,12,49
16.8,15,2,2,16,67
16.9,21,3,2,15,63
17,27,2,0,11,54
17.1,21,3,3,17,64
17.2,23,5,2,13,66
17.3,25,3,2,15,59
17.4,19,2,2,17,57
17.5,33,6,0,12,47
17.6,40,2,2,12,59
17.7,40,3,1,8,54
17.8,37,2,1,13,62
17.9,37,2,1,10,47
18,16,4,2,9,60
18.1,27,3,2,12,66
18.2,21,3,2,10,52
18.3,8,4,1,8,44
18.4,14,1,1,11,59
18.5,18,2,3,11,73
18.6,13,1,3,22,70
18.7,7,1,2,19,56
18.8,17,0,5,12,72
18.9,9,3,3,13,69
19,20,2,0,9,67
19.1,16,2,2,13,60
19.2,16,3,3,6,68
19.3,17,1,4,8,56
19.4,10,0,1,9,48
19.5,17,2,3,17,53
19.6,16,2,0,15,55
19.7,15,1,1,6,57
19.8,11,1,2,9,64
19.9,15,1,4,14,81
20,16,4,3,11,53
