&b / °,crystal,crytsla cu,cu,null,cu crystal
25.5,,,,,72
25.6,,,,,58
25.7,,,,,83
25.8,,,,,70
25.9,,,,,78
26,,,,,64
26.1,,,,,59
26.2,,,,,75
26.3,,,,,70
26.4,,,,,66
26.5,,,,,80
26.6,,,,,83
26.7,,,,,58
26.8,,,,,82
26.9,,,,,63
27,,,,,75
27.1,,,,,69
27.2,,,,,63
27.3,,,,,54
27.4,,,,,66
27.5,,,,,56
27.6,,,,,66
27.7,,,,,74
27.8,,,,,67
27.9,,,,,65
28,,,,,58
28.1,,,,,52
28.2,,,,,81
28.3,,,,,52
28.4,,,,,53
28.5,,,,,63
28.6,,,,,65
28.7,,,,,69
28.8,,,,,65
28.9,,,,,63
29,,,,,76
29.1,,,,,65
29.2,,,,,62
29.3,,,,,57
29.4,,,,,62
29.5,,,,,53
29.6,,,,,68
29.7,,,,,66
29.8,,,,,73
29.9,,,,,51
30,,,,,56
30.1,,,,,62
30.2,,,,,71
30.3,,,,,74
30.4,,,,,69
30.5,,,,,59
30.6,,,,,72
30.7,,,,,53
30.8,,,,,60
30.9,,,,,58
31,,,,,83
31.1,,,,,47
31.2,,,,,68
31.3,,,,,69
31.4,,,,,63
31.5,,,,,70
31.6,,,,,76
31.7,,,,,71
31.8,,,,,59
31.9,,,,,72
32,,,,,54
32.1,,,,,63
32.2,,,,,62
32.3,,,,,67
32.4,,,,,59
32.5,,,,,69
32.6,,,,,56
32.7,,,,,61
32.8,,,,,67
32.9,,,,,49
33,,,,,60
33.1,,,,,68
33.2,,,,,58
33.3,,,,,49
33.4,,,,,80
33.5,,,,,54
33.6,,,,,61
33.7,,,,,54
33.8,,,,,67
33.9,,,,,61
34,,,,,76
34.1,,,,,52
34.2,,,,,59
34.3,,,,,59
34.4,,,,,65
34.5,,,,,47
34.6,,,,,68
34.7,,,,,56
34.8,,,,,69
34.9,,,,,74
35,,,,,59
35.1,,,,,70
35.2,,,,,77
35.3,,,,,63
35.4,,,,,52
35.5,,,,,71
35.6,,,,,61
35.7,,,,,58
35.8,,,,,66
35.9,,,,,73
36,,,,,57
36.1,,,,,56
36.2,,,,,66
36.3,,,,,59
36.4,,,,,74
36.5,,,,,60
36.6,,,,,54
36.7,,,,,57
36.8,,,,,65
36.9,,,,,66
37,,,,,44
37.1,,,,,55
37.2,,,,,62
37.3,,,,,64
37.4,,,,,68
37.5,,,,,61
37.6,,,,,73
37.7,,,,,65
37.8,,,,,51
37.9,,,,,60
38,,,,,74
38.1,,,,,59
38.2,,,,,46
38.3,,,,,51
38.4,,,,,64
38.5,,,,,64
38.6,,,,,49
38.7,,,,,61
38.8,,,,,53
38.9,,,,,67
39,,,,,66
39.1,,,,,67
39.2,,,,,56
39.3,,,,,61
39.4,,,,,53
39.5,,,,,60
39.6,,,,,63
39.7,,,,,62
39.8,,,,,62
39.9,,,,,50
40,,,,,55
40.1,,,,,55
40.2,,,,,56
40.3,,,,,63
40.4,,,,,61
40.5,,,,,79
40.6,,,,,55
40.7,,,,,62
40.8,,,,,57
40.9,,,,,55
41,,,,,61
41.1,,,,,51
41.2,,,,,59
41.3,,,,,47
41.4,,,,,41
41.5,,,,,48
41.6,,,,,53
41.7,,,,,65
41.8,,,,,62
41.9,,,,,66
42,,,,,56
42.1,,,,,59
42.2,,,,,53
42.3,,,,,50
42.4,,,,,73
42.5,,,,,70
42.6,,,,,52
42.7,,,,,52
42.8,,,,,63
42.9,,,,,57
43,,,,,56
43.1,,,,,60
43.2,,,,,61
43.3,,,,,63
43.4,,,,,67
43.5,,,,,69
43.6,,,,,62
43.7,,,,,54
43.8,,,,,66
43.9,,,,,58
44,,,,,68
44.1,,,,,66
44.2,,,,,51
44.3,,,,,54
44.4,,,,,62
44.5,,,,,63
44.6,,,,,60
44.7,,,,,51
44.8,,,,,66
44.9,,,,,61
45,,,,,50
