&b / °,cu crystal,crystal,crytsla cu,cu
1,18,2,0,6
1.1,10,2,2,0
1.2,28,0,4,0
1.3,16,4,0,2
1.4,28,2,2,0
1.5,20,0,0,2
1.6,14,2,2,2
1.7,26,0,2,0
1.8,32,4,0,2
1.9,22,4,0,0
2,16,0,0,2
2.1,26,2,0,0
2.2,32,0,0,2
2.3,18,10,0,0
2.4,32,2,0,0
2.5,16,6,0,0
2.6,44,4,0,0
2.7,36,4,2,0
2.8,34,4,0,0
2.9,42,4,4,2
3,34,4,2,0
3.1,28,6,0,2
3.2,36,6,0,4
3.3,50,2,0,0
3.4,26,4,0,0
3.5,22,2,0,0
3.6,52,6,0,2
3.7,20,6,0,0
3.8,34,4,2,0
3.9,30,10,4,0
4,34,6,4,0
4.1,30,4,0,0
4.2,36,2,4,0
4.3,40,0,2,0
4.4,46,10,0,0
4.5,34,4,2,2
4.6,42,0,4,2
4.7,52,2,4,0
4.8,32,8,0,0
4.9,38,8,2,0
5,38,2,0,0
5.1,50,4,0,0
5.2,48,8,0,0
5.3,34,8,0,0
5.4,32,12,0,0
5.5,40,6,0,2
5.6,34,10,2,0
5.7,40,10,6,0
5.8,36,8,0,0
5.9,44,10,4,0
6,56,20,10,2
6.1,32,20,4,0
6.2,50,22,8,0
6.3,52,20,6,0
6.4,30,20,8,0
6.5,36,32,10,0
6.6,28,22,12,0
6.7,40,22,14,0
6.8,36,22,6,0
6.9,48,16,4,0
7,34,26,6,0
7.1,32,44,4,0
7.2,52,20,14,0
7.3,58,30,8,4
7.4,42,36,10,0
7.5,34,42,18,0
7.6,28,48,4,0
7.7,38,54,6,0
7.8,44,50,0,0
7.9,54,32,6,0
8,24,34,6,0
8.1,50,28,4,0
8.2,42,36,0,0
8.3,42,34,2,0
8.4,28,30,2,0
8.5,50,44,2,0
8.6,48,36,8,0
8.7,40,54,2,0
8.8,42,64,2,0
8.9,26,50,10,0
9,42,40,4,0
9.1,34,30,8,0
9.2,24,20,0,0
9.3,36,22,6,0
9.4,38,28,4,0
9.5,26,10,2,0
9.6,40,22,2,0
9.7,32,14,4,0
9.8,44,26,0,0
9.9,46,30,2,2
10,40,16,4,0
10.1,32,36,2,0
10.2,34,24,0,0
10.3,50,24,2,0
10.4,20,22,0,0
10.5,22,16,2,0
10.6,36,8,2,0
10.7,34,12,0,0
10.8,28,22,0,2
10.9,30,12,0,2
11,24,22,0,0
11.1,24,6,2,0
11.2,28,10,2,0
11.3,36,10,0,0
11.4,32,8,2,0
11.5,40,10,0,2
11.6,38,6,2,0
11.7,24,10,0,0
11.8,30,18,0,2
11.9,32,12,2,2
12,40,14,0,0
12.1,30,8,6,0
12.2,46,12,2,0
12.3,26,14,6,0
12.4,36,12,0,0
12.5,24,2,4,0
12.6,34,8,2,0
12.7,30,8,2,0
12.8,24,12,6,0
12.9,28,12,4,0
13,34,6,0,0
13.1,32,8,0,0
13.2,42,8,0,0
13.3,26,8,0,2
13.4,28,10,2,0
13.5,38,10,0,0
13.6,28,10,0,0
13.7,14,8,0,0
13.8,42,22,4,0
13.9,34,8,0,0
14,32,8,4,0
14.1,30,8,0,2
14.2,36,10,2,0
14.3,32,10,4,2
14.4,28,14,0,0
14.5,24,10,2,0
14.6,22,8,0,2
14.7,30,4,2,0
14.8,22,14,2,4
14.9,42,10,2,0
15,48,6,4,0
15.1,28,2,0,0
15.2,36,8,2,4
15.3,30,12,2,0
15.4,22,10,0,0
15.5,20,14,0,0
15.6,42,18,0,0
15.7,28,16,0,0
15.8,28,4,0,0
15.9,32,10,2,0
16,36,14,0,0
16.1,22,4,0,0
16.2,42,16,0,4
16.3,32,10,0,0
16.4,32,10,2,0
16.5,28,8,2,0
16.6,32,10,4,0
16.7,38,10,2,2
16.8,30,4,4,0
16.9,42,16,2,0
17,44,4,2,4
17.1,30,10,2,0
17.2,20,10,0,2
17.3,24,12,0,2
17.4,30,14,2,2
17.5,32,8,0,2
17.6,30,10,0,2
17.7,32,14,2,0
17.8,46,8,2,2
17.9,40,8,4,0
18,22,6,2,0
18.1,28,10,4,0
18.2,36,8,0,0
18.3,32,18,0,4
18.4,26,22,0,2
18.5,44,8,2,0
18.6,18,10,0,4
18.7,40,6,0,2
18.8,30,6,0,0
18.9,16,8,0,6
19,36,2,0,2
19.1,34,8,0,2
19.2,26,8,0,0
19.3,40,14,0,2
19.4,38,16,0,0
19.5,20,16,0,0
19.6,18,8,2,2
19.7,36,6,2,0
19.8,20,4,0,0
19.9,20,6,0,0
20,38,10,2,4
