&b / °,crystal,crytsla cu,cu,null,cu crystal
1,8,2,2,6,10
1.1,2,0,4,6,28
1.2,4,0,0,10,28
1.3,2,0,0,4,22
1.4,2,0,0,2,34
1.5,4,4,0,8,30
1.6,6,2,2,6,20
1.7,2,0,2,10,22
1.8,6,0,0,0,28
1.9,8,0,2,0,34
2,10,0,0,4,42
2.1,4,0,0,6,30
2.2,6,4,2,6,30
2.3,0,0,0,2,24
2.4,16,2,0,12,48
2.5,6,0,0,4,44
2.6,4,0,0,4,34
2.7,10,0,2,0,60
2.8,6,0,0,8,34
2.9,4,0,0,0,34
3,14,6,0,2,54
3.1,4,2,0,6,48
3.2,2,2,4,2,52
3.3,4,0,0,4,44
3.4,16,0,0,2,46
3.5,8,4,0,2,44
3.6,20,0,0,4,46
3.7,14,0,0,6,46
3.8,12,2,2,0,52
3.9,10,2,0,2,46
4,14,0,0,2,38
4.1,12,4,0,0,52
4.2,12,6,2,2,34
4.3,18,4,0,4,50
4.4,12,2,0,10,54
4.5,18,2,2,0,62
4.6,4,4,0,4,42
4.7,16,0,0,2,56
4.8,12,2,0,4,34
4.9,14,2,0,4,42
5,6,4,0,8,58
5.1,6,0,0,0,52
5.2,16,2,0,0,74
5.3,16,4,0,0,56
5.4,8,0,0,2,36
5.5,22,2,2,10,50
5.6,20,14,0,0,48
5.7,24,6,0,0,46
5.8,34,4,0,2,48
5.9,18,14,0,2,60
6,44,6,0,0,56
6.1,38,8,0,0,46
6.2,36,8,0,2,48
6.3,50,18,2,0,72
6.4,48,2,0,0,54
6.5,62,14,0,2,70
6.6,60,10,0,2,58
6.7,44,14,2,2,56
6.8,48,14,0,0,58
6.9,52,10,2,4,44
7,50,2,0,0,46
7.1,42,8,0,0,76
7.2,60,10,0,2,68
7.3,56,8,0,2,60
7.4,60,6,0,0,66
7.5,56,6,0,2,42
7.6,62,8,0,6,38
7.7,78,4,0,0,58
7.8,62,4,0,2,60
7.9,46,8,0,2,58
8,68,2,0,0,38
8.1,58,4,0,2,44
8.2,46,10,2,4,56
8.3,58,2,0,0,44
8.4,48,2,0,2,44
8.5,78,10,0,2,56
8.6,100,4,0,2,50
8.7,84,6,0,0,40
8.8,92,10,0,4,60
8.9,66,10,0,4,52
9,48,4,2,0,58
9.1,46,2,0,2,48
9.2,52,2,0,2,40
9.3,24,4,0,0,50
9.4,58,0,0,0,44
9.5,26,0,0,2,66
9.6,14,0,0,2,52
9.7,34,0,0,2,54
9.8,26,6,0,0,30
9.9,52,2,0,0,36
10,36,2,0,2,50
10.1,30,0,2,4,44
10.2,34,6,2,2,38
10.3,32,4,0,2,36
10.4,34,0,0,0,44
10.5,30,4,0,4,62
10.6,22,0,0,0,38
10.7,24,0,0,2,30
10.8,6,0,0,4,32
10.9,16,0,0,2,40
11,32,6,0,0,38
11.1,26,0,0,4,38
11.2,22,2,0,4,48
11.3,30,0,0,0,38
11.4,28,4,2,8,32
11.5,24,2,0,4,34
11.6,12,8,0,2,38
11.7,8,2,0,6,40
11.8,32,0,2,6,26
11.9,28,0,2,0,38
12,12,0,0,4,52
12.1,22,2,0,0,36
12.2,24,2,0,6,46
12.3,28,4,0,10,48
12.4,20,6,0,10,48
12.5,12,4,2,2,38
12.6,20,0,0,6,38
12.7,30,0,2,8,52
12.8,26,2,0,6,54
12.9,10,0,2,12,42
13,10,2,2,10,42
13.1,26,2,0,6,30
13.2,24,2,0,12,34
13.3,16,0,2,4,54
13.4,16,0,2,14,52
13.5,24,6,2,2,54
13.6,20,2,0,12,48
13.7,8,6,2,4,28
13.8,16,2,2,16,44
13.9,22,4,0,20,58
14,12,2,0,6,40
14.1,2,0,0,6,56
14.2,10,0,0,10,52
14.3,14,6,0,4,48
14.4,20,0,4,14,44
14.5,10,4,6,8,42
14.6,10,0,2,6,48
14.7,28,0,0,8,50
14.8,6,4,0,8,70
14.9,8,0,0,10,48
15,18,0,0,4,38
15.1,16,8,2,6,60
15.2,20,4,0,12,60
15.3,28,2,2,6,42
15.4,26,0,0,8,36
15.5,18,6,2,12,44
15.6,12,6,0,6,50
15.7,14,4,0,14,46
15.8,16,0,0,2,48
15.9,24,4,2,22,36
16,16,4,2,12,52
16.1,8,0,0,14,38
16.2,22,0,2,8,52
16.3,14,0,0,12,50
16.4,26,4,2,14,26
16.5,18,0,0,12,58
16.6,14,4,0,12,30
16.7,20,4,0,16,44
16.8,14,2,0,4,44
16.9,16,0,4,2,36
17,8,2,2,6,54
17.1,20,4,2,10,46
17.2,26,0,2,12,50
17.3,22,6,4,10,46
17.4,18,6,0,12,30
17.5,30,2,0,12,40
17.6,30,0,2,6,36
17.7,22,0,0,6,44
17.8,14,2,4,6,26
17.9,8,0,2,4,50
18,14,2,2,20,54
18.1,18,4,4,0,40
18.2,16,2,2,10,44
18.3,6,0,2,10,42
18.4,12,6,0,10,38
18.5,12,0,2,10,42
18.6,18,2,0,4,42
18.7,14,0,0,10,44
18.8,16,2,2,8,34
18.9,12,2,2,4,44
19,12,0,0,8,56
19.1,12,2,0,12,22
19.2,8,0,0,18,38
19.3,10,0,6,14,36
19.4,16,2,0,10,46
19.5,6,0,2,6,48
19.6,8,2,4,4,34
19.7,2,6,0,8,42
19.8,10,2,0,10,44
19.9,10,0,0,10,34
20,16,0,0,16,46
