&b / °,cu crystal,crystal,crytsla cu,cu
1,8,2,0,0
1.1,16,0,0,0
1.2,8,0,0,0
1.3,4,0,0,0
1.4,10,0,0,2
1.5,8,4,0,0
1.6,12,0,0,0
1.7,16,0,0,0
1.8,20,4,0,2
1.9,0,0,0,0
2,16,2,4,0
2.1,6,0,0,0
2.2,4,0,0,0
2.3,6,0,0,0
2.4,6,6,0,2
2.5,14,2,0,0
2.6,14,0,0,0
2.7,12,0,0,0
2.8,12,2,0,0
2.9,10,2,2,0
3,4,0,0,0
3.1,14,0,2,0
3.2,14,2,0,0
3.3,12,4,0,0
3.4,16,0,0,0
3.5,14,0,2,2
3.6,18,0,0,0
3.7,12,2,0,0
3.8,8,6,2,0
3.9,12,8,0,0
4,10,2,0,0
4.1,10,0,0,0
4.2,24,4,2,0
4.3,10,6,0,0
4.4,12,2,2,0
4.5,14,6,0,0
4.6,6,4,0,0
4.7,28,2,0,0
4.8,12,4,0,0
4.9,8,0,2,0
5,10,2,0,0
5.1,18,4,0,0
5.2,18,0,0,0
5.3,8,0,0,0
5.4,14,0,0,0
5.5,20,0,2,0
5.6,22,0,2,0
5.7,12,0,0,0
5.8,8,0,0,0
5.9,10,2,0,0
6,20,0,2,0
6.1,16,0,2,2
6.2,8,8,2,0
6.3,12,4,0,0
6.4,28,6,0,0
6.5,10,2,0,0
6.6,12,2,0,2
6.7,12,6,0,0
6.8,18,4,0,0
6.9,20,0,2,0
7,14,0,0,0
7.1,10,6,0,0
7.2,4,4,0,0
7.3,12,14,2,0
7.4,24,6,2,0
7.5,12,6,2,0
7.6,14,10,0,0
7.7,6,10,0,0
7.8,12,14,0,0
7.9,12,8,0,0
8,12,22,2,0
8.1,8,10,0,0
8.2,14,14,4,0
8.3,8,6,0,0
8.4,8,18,2,0
8.5,16,18,0,0
8.6,6,12,0,0
8.7,6,16,2,0
8.8,14,18,0,0
8.9,14,12,2,0
9,16,18,4,2
9.1,22,14,2,2
9.2,20,14,0,0
9.3,14,8,0,0
9.4,12,10,0,0
9.5,12,16,0,0
9.6,24,6,0,0
9.7,10,10,0,0
9.8,14,10,2,0
9.9,12,18,0,2
10,12,20,4,0
10.1,10,14,2,0
10.2,12,14,0,0
10.3,12,8,2,0
10.4,14,14,0,0
10.5,12,10,0,0
10.6,14,2,0,0
10.7,14,8,0,0
10.8,18,10,0,0
10.9,14,20,2,0
11,12,10,0,0
11.1,22,6,0,0
11.2,18,4,0,0
11.3,4,6,0,2
11.4,14,2,0,0
11.5,8,0,0,0
11.6,10,4,0,2
11.7,12,8,0,0
11.8,12,10,2,0
11.9,16,2,0,0
12,10,4,0,0
12.1,10,4,0,0
12.2,6,6,0,0
12.3,22,4,0,0
12.4,8,4,0,0
12.5,12,4,0,0
12.6,24,8,0,0
12.7,4,2,0,0
12.8,10,2,0,0
12.9,16,2,0,0
13,10,12,0,0
13.1,20,2,0,0
13.2,14,2,0,0
13.3,12,6,2,0
13.4,8,4,0,0
13.5,6,6,0,0
13.6,8,0,0,0
13.7,12,6,2,2
13.8,10,4,0,0
13.9,20,0,0,0
14,22,4,0,0
14.1,14,6,0,0
14.2,12,2,0,0
14.3,10,0,0,0
14.4,14,2,0,0
14.5,6,2,0,0
14.6,18,4,2,0
14.7,6,2,0,0
14.8,20,10,0,2
14.9,16,6,0,0
15,8,4,0,0
15.1,10,4,4,0
15.2,10,6,0,0
15.3,8,6,0,2
15.4,18,2,0,2
15.5,12,0,0,0
15.6,6,2,0,0
15.7,12,4,0,0
15.8,18,8,0,0
15.9,6,2,0,0
16,16,2,2,0
16.1,10,0,0,0
16.2,18,4,0,0
16.3,6,4,0,0
16.4,14,2,0,0
16.5,12,6,0,0
16.6,16,6,0,2
16.7,14,0,0,0
16.8,12,6,2,0
16.9,16,8,0,2
17,6,2,0,2
17.1,18,4,0,0
17.2,14,0,0,0
17.3,6,4,0,0
17.4,14,4,0,0
17.5,18,2,0,0
17.6,6,2,2,0
17.7,16,2,0,0
17.8,10,2,2,0
17.9,2,0,0,0
18,16,0,2,0
18.1,18,4,0,0
18.2,14,4,0,0
18.3,28,8,0,0
18.4,12,4,0,0
18.5,22,0,4,0
18.6,12,4,0,2
18.7,14,4,2,0
18.8,18,2,0,0
18.9,10,4,0,0
19,22,6,0,0
19.1,16,6,4,2
19.2,8,0,0,2
19.3,8,0,2,0
19.4,8,0,0,0
19.5,18,0,0,0
19.6,4,6,2,0
19.7,14,4,0,0
19.8,12,2,2,0
19.9,8,0,0,0
20,8,0,0,0
